car,varient,km,fuel,transmission,registration,price,location
2022 Tata NEXON, XZ PLUS (PREMIUM) DIESEL DARK EDITION,"41,672 km",Diesel,Manual,UP-14,₹7.89 lakh,new-delhi
2017 Honda Amaze, 1.2L I-VTEC S,"74,364 km",Petrol,Manual,UP-16,₹3.52 lakh,new-delhi
2020 Maruti Baleno, ALPHA CVT PETROL 1.2,"81,601 km",Petrol,Auto,DL-14,₹4.85 lakh,new-delhi
2025 Tata ALTROZ, XM PLUS SUNROOF CNG,"28,096 km",CNG,Manual,DL-11,₹7.00 lakh,new-delhi
2021 Renault Duster, RXZ 1.5 PETROL MT,"38,842 km",Petrol,Manual,UP-14,₹6.10 lakh,new-delhi
2019 Hyundai VENUE, SX 1.0 TURBO,"51,469 km",Petrol,Manual,UP-15,₹5.37 lakh,new-delhi
2021 Maruti XL6, ZETA MT,"66,352 km",Petrol,Manual,HR-26,₹7.54 lakh,new-delhi
2021 KIA SONET, HTX 1.0 IMT,"39,004 km",Petrol,Manual,UP-16,₹6.69 lakh,new-delhi
2015 Toyota Etios, CROSS 1.2 G,"64,189 km",CNG,Manual,DL-3C,₹3.00 lakh,new-delhi
2023 Maruti Eeco, 7 STR STD 1.2,"1,25,308 km",Petrol,Manual,UP-27,₹3.81 lakh,new-delhi
2017 Maruti Swift, LXI (O),"54,181 km",Petrol,Manual,DL-3C,₹3.08 lakh,new-delhi
2019 Ford Ecosport, TITANIUM 1.5L THUNDER EDTION PETROL,"33,067 km",Petrol,Manual,HR-26,₹5.58 lakh,new-delhi
2020 KIA SELTOS, GTX AT 1.4 PETROL,"71,430 km",Petrol,Auto,HR-26,₹8.62 lakh,new-delhi
2019 Hyundai Creta, EX 1.6 PETROL,"50,896 km",Petrol,Manual,HR-51,₹5.78 lakh,new-delhi
2017 Mahindra Kuv100, K6 PLUS 6 STR,"43,431 km",Petrol,Manual,HR-26,₹2.40 lakh,new-delhi
2016 Hyundai Creta, S 1.6 PETROL,"58,643 km",Petrol,Manual,DL-8C,₹4.14 lakh,new-delhi
2022 Hyundai NEW I20, SPORTZ 1.2 MT,"19,259 km",Petrol,Manual,DL-12,₹5.74 lakh,new-delhi
2015 Maruti Swift Dzire, VXI,"54,322 km",Petrol,Manual,HR-51,₹2.50 lakh,new-delhi
2022 Tata PUNCH,  ACCOMPLISHED AMT CAMO EDITION,"16,080 km",Petrol,Auto,HR-98,₹6.01 lakh,new-delhi
2019 Maruti Baleno, SIGMA PETROL 1.2,"60,923 km",Petrol,Manual,HR-13,₹3.60 lakh,new-delhi
2019 Tata Tiago, XZ PLUS PETROL,"13,443 km",Petrol,Manual,HR-51,₹3.68 lakh,new-delhi
2015 Hyundai Eon, ERA +,"91,906 km",Petrol,Manual,UP-32,₹1.50 lakh,new-delhi
2023 Skoda KUSHAQ, AMBITION 1.5 TSI MT,"51,259 km",Petrol,Manual,UP-14,₹8.10 lakh,new-delhi
2022 Tata ALTROZ, XE DIESEL,"37,837 km",Diesel,Manual,UP-37,₹4.46 lakh,new-delhi
2019 Hyundai Creta, S 1.4 DIESEL,"69,387 km",Diesel,Manual,UP-16,₹5.71 lakh,new-delhi
2021 Tata NEXON, XZ PLUS PETROL,"40,807 km",Petrol,Manual,HR-26,₹5.90 lakh,new-delhi
2017 Hyundai Grand i10, SPORTZ 1.2 KAPPA VTVT,"83,853 km",Petrol,Manual,UP-14,₹2.78 lakh,new-delhi
2020 KIA SELTOS, HTK PLUS 1.5,"39,045 km",Petrol,Manual,DL-8C,₹7.52 lakh,new-delhi
2023 Tata TIGOR, XM CNG,"60,776 km",CNG,Manual,HR-36,₹4.95 lakh,new-delhi
2019 Tata NEXON, XZ PLUS PETROL,"40,741 km",Petrol,Manual,DL-7C,₹4.85 lakh,new-delhi
2021 MG HECTOR, SMART 2.0 DIESEL,"73,136 km",Diesel,Manual,UP-14,₹9.45 lakh,new-delhi
2015 Hyundai Elite i20, ASTA 1.2,"43,082 km",CNG,Manual,UP-14,₹3.45 lakh,new-delhi
2020 Maruti Baleno, DELTA PETROL 1.2,"25,691 km",Petrol,Manual,UP-13,₹4.38 lakh,new-delhi
2021 KIA SONET, HTX 1.0 IMT,"72,619 km",Petrol,Manual,DL-7C,₹6.59 lakh,new-delhi
2022 Renault Kiger, RXZ MT,"33,351 km",Petrol,Manual,HR-06,₹5.23 lakh,new-delhi
2014 Toyota Etios Liva, G,"69,429 km",Petrol,Manual,HR-51,₹1.89 lakh,new-delhi
2014 Skoda Octavia, ELEGANCE 1.8 TSI AT,"56,701 km",Petrol,Auto,HR-26,₹5.40 lakh,new-delhi
2019 Maruti Ciaz, ALPHA  AT 1.5 SHVS PETROL,"85,161 km",Petrol,Auto,HR-26,₹5.03 lakh,new-delhi
2016 Renault Kwid, RXL,"43,923 km",Petrol,Manual,DL-8C,₹1.61 lakh,new-delhi
2018 Honda WR-V, 1.2L I-VTEC VX MT,"26,503 km",Petrol,Manual,UP-65,₹4.41 lakh,new-delhi
2023 Hyundai GRAND I10 NIOS, SPORTZ AMT 1.2 KAPPA VTVT,"11,027 km",Petrol,Auto,DL-7C,₹5.94 lakh,new-delhi
2019 Ford Ecosport, TITANIUM + 1.5L PETROL,"45,424 km",Petrol,Manual,HR-85,₹5.00 lakh,new-delhi
2019 Datsun Go, T(O),"31,633 km",Petrol,Manual,UP-25,₹2.85 lakh,new-delhi
2018 Hyundai Grand i10, SPORTZ 1.2 KAPPA VTVT,"94,763 km",Petrol,Manual,HR-12,₹2.96 lakh,new-delhi
2021 MG HECTOR, SHARP 1.5 DCT PETROL,"55,082 km",Petrol,Auto,HR-51,₹10.07 lakh,new-delhi
2019 Honda Amaze, 1.2L I-VTEC S,"42,525 km",CNG,Manual,HR-87,₹4.33 lakh,new-delhi
2019 Honda City, 1.5L I-VTE V CVT,"99,677 km",Petrol,Auto,HR-26,₹5.80 lakh,new-delhi
2018 Maruti Ciaz, SIGMA 1.5 SHVS MT  PETROL,"64,021 km",Petrol,Manual,HR-26,₹4.05 lakh,new-delhi
2021 Hyundai GRAND I10 NIOS, SPORTZ 1.2 KAPPA VTVT,"43,900 km",Petrol,Manual,UP-14,₹4.29 lakh,new-delhi
2023 Hyundai GRAND I10 NIOS, SPORTZ 1.2 KAPPA VTVT CNG,"49,100 km",CNG,Manual,DL-5C,₹5.42 lakh,new-delhi
2017 Maruti Baleno, ALPHA PETROL 1.2,"88,657 km",Petrol,Manual,DL-8C,₹3.33 lakh,new-delhi
2021 Hyundai NEW SANTRO, MAGNA EXECUTIVE CNG,"94,018 km",CNG,Manual,HR-50,₹3.48 lakh,new-delhi
2023 Tata TIGOR, XZ PETROL,"14,618 km",Petrol,Manual,UP-13,₹4.89 lakh,new-delhi
2018 Honda WR-V, 1.5L I-DTEC VX MT,"90,489 km",Diesel,Manual,HR-51,₹3.50 lakh,new-delhi
2022 Hyundai AURA, S 1.2 CNG,"77,971 km",CNG,Manual,DL-7C,₹5.06 lakh,new-delhi
2023 Mahindra XUV300, W8 1.2 PETROL,"28,371 km",Petrol,Manual,HR-51,₹7.58 lakh,new-delhi
2022 Tata ALTROZ, XM PLUS PETROL,"58,361 km",Petrol,Manual,DL-1C,₹4.66 lakh,new-delhi
2016 Maruti Alto K10, VXI,"45,176 km",Petrol,Manual,HR-12,₹2.26 lakh,new-delhi
2023 Tata NEXON, FEARLESS 1.2 REVOTRON 6 MT DT,"25,308 km",Petrol,Manual,UP-14,₹8.53 lakh,new-delhi
2022 Renault Kwid, RXT 1.0 (O),"54,988 km",Petrol,Manual,HR-10,₹3.19 lakh,new-delhi
2023 MG HECTOR, SHARP PRO 1.5 PETROL TURBO CVT PETROL,"45,336 km",Petrol,Auto,HR-26,₹13.46 lakh,new-delhi
2020 Mahindra XUV300, W8 1.5 DIESEL,"91,682 km",Diesel,Manual,DL-10,₹5.83 lakh,new-delhi
2018 Hyundai Creta, SX 1.6 PETROL DUAL TONE,"82,607 km",Petrol,Manual,HR-29,₹5.82 lakh,new-delhi
2020 Hyundai Creta, SX (O) IVT 1.5 PETROL,"58,280 km",Petrol,Auto,DL-2C,₹10.22 lakh,new-delhi
2023 Mahindra XUV700, AX 7 D MT 7 STR,"47,576 km",Diesel,Manual,HR-26,₹15.27 lakh,new-delhi
2021 Maruti Baleno, DELTA PETROL 1.2,"59,396 km",Petrol,Manual,HR-26,₹4.51 lakh,new-delhi
2022 MG ASTOR, SMART EX 1.5 MT,"17,169 km",Petrol,Manual,UP-80,₹9.60 lakh,new-delhi
2024 Maruti Eeco, 5 STR AC,"20,211 km",Petrol,Manual,DL-8C,₹4.07 lakh,new-delhi
2015 Ford Ecosport, TITANIUM 1.5L PETROL AT,"75,297 km",Petrol,Auto,HR-26,₹2.91 lakh,new-delhi
2015 Honda Brio, S MT,"39,212 km",Petrol,Manual,HR-51,₹1.80 lakh,new-delhi
2015 Maruti Celerio, VXI AMT,"90,156 km",Petrol,Auto,HR-70,₹1.85 lakh,new-delhi
2023 Tata Tiago, XT PETROL,"30,462 km",Petrol,Manual,HR-26,₹4.11 lakh,new-delhi
2019 Maruti Celerio X, VXI,"30,013 km",Petrol,Manual,DL-8C,₹3.23 lakh,new-delhi
2022 Tata Tiago, XZA PLUS PETROL,"49,582 km",Petrol,Auto,HR-22,₹4.49 lakh,new-delhi
2023 Mahindra XUV700, AX 7 LUXURY D AWD AT 7 STR,"76,365 km",Diesel,Auto,HR-72,₹16.30 lakh,new-delhi
2015 Honda Amaze, 1.2L I-VTEC S,"73,580 km",CNG,Manual,UP-16,₹2.47 lakh,new-delhi
2017 Honda Amaze, 1.2L I-VTEC S OPT,"68,245 km",Petrol,Manual,HR-51,₹2.90 lakh,new-delhi
2022 Mahindra Thar, LX HARD TOP 4WD MT,"72,242 km",Diesel,Manual,HR-26,₹10.08 lakh,new-delhi
2016 Honda City, 1.5L I-VTEC V MT,"73,305 km",Petrol,Manual,UP-16,₹3.78 lakh,new-delhi
2021 Maruti New Wagon-R, LXI CNG 1.0,"68,800 km",CNG,Manual,HR-10,₹3.92 lakh,new-delhi
2022 Hyundai ALCAZAR, 1.5 SIGNATURE (O) AT 6STR,"73,803 km",Diesel,Auto,HR-87,₹12.41 lakh,new-delhi
2017 Maruti Wagon R 1.0, LXI,"99,250 km",CNG,Manual,HR-50,₹2.30 lakh,new-delhi
2016 Ford Ecosport, TITANIUM 1.5L PETROL AT,"60,315 km",Petrol,Auto,DL-8C,₹3.45 lakh,new-delhi
2016 Honda Amaze, 1.2L I-VTEC SX,"75,014 km",Petrol,Manual,DL-2C,₹3.07 lakh,new-delhi
2016 Honda City, 1.5L I-VTEC VX CVT,"65,297 km",Petrol,Auto,HR-51,₹4.97 lakh,new-delhi
2017 Maruti Baleno, ZETA PETROL 1.2,"1,05,324 km",Petrol,Manual,HR-26,₹2.94 lakh,new-delhi
2015 Maruti Swift, VXI,"16,583 km",Petrol,Manual,DL-3C,₹2.75 lakh,new-delhi
2017 Maruti Swift, VXI,"59,181 km",CNG,Manual,HR-26,₹3.67 lakh,new-delhi
2021 Hyundai NEW I20, SPORTZ 1.2 AT,"37,020 km",Petrol,Auto,UP-27,₹6.04 lakh,new-delhi
2017 Hyundai Elite i20, SPORTZ 1.2,"90,588 km",Petrol,Manual,HR-26,₹3.77 lakh,new-delhi
2019 Hyundai Elite i20, MAGNA EXECUTIVE 1.2,"36,435 km",Petrol,Manual,DL-10,₹4.24 lakh,new-delhi
2018 Hyundai Creta, SX AT 1.6 PETROL,"77,290 km",Petrol,Auto,UP-16,₹7.26 lakh,new-delhi
2015 Maruti Celerio, LXI,"81,919 km",Petrol,Manual,HR-26,₹1.77 lakh,new-delhi
2023 Hyundai Creta, EX 1.5 PETROL,"33,301 km",Petrol,Manual,HR-12,₹9.40 lakh,new-delhi
2023 Tata NEXON, XZ PLUS (L),"17,814 km",Petrol,Manual,HR-98,₹7.03 lakh,new-delhi
2022 KIA SONET, HTK PLUS 1.2,"40,431 km",CNG,Manual,HR-72,₹7.45 lakh,new-delhi
2022 MG HECTOR, SHARP HYBRID 1.5 PETROL,"81,106 km",Petrol,Manual,HR-98,₹10.48 lakh,new-delhi
2022 Mahindra XUV300, W6 1.2 PETROL AMT,"18,956 km",Petrol,Auto,UP-14,₹6.76 lakh,new-delhi
2020 Tata Tiago, XZ PETROL,"75,104 km",Petrol,Manual,HR-16,₹3.24 lakh,new-delhi
2018 Maruti Dzire, VXI,"39,181 km",Petrol,Manual,HR-26,₹4.06 lakh,new-delhi
2016 Hyundai Creta, E PLUS 1.6 PETROL,"44,972 km",Petrol,Manual,UP-16,₹4.69 lakh,new-delhi
2023 Nissan MAGNITE, XV PREMIUM TURBO CVT,"16,395 km",Petrol,Auto,UP-16,₹7.12 lakh,new-delhi
2017 Honda Amaze, 1.2L I-VTEC S,"57,346 km",Petrol,Manual,DL-9C,₹3.00 lakh,new-delhi
2019 Hyundai Elite i20, MAGNA PLUS 1.2,"61,702 km",Petrol,Manual,UP-19,₹3.71 lakh,new-delhi
2017 Hyundai Creta, SX PLUS AT 1.6 PETROL,"59,366 km",Petrol,Auto,HR-26,₹5.95 lakh,new-delhi
2020 Hyundai VENUE, SX 1.0 TURBO,"56,321 km",Petrol,Manual,HR-36,₹6.55 lakh,new-delhi
2016 Volkswagen Polo, COMFORTLINE 1.2L,"62,351 km",Petrol,Manual,DL-12,₹3.16 lakh,new-delhi
2019 KIA SELTOS, GTX PLUS DCT 1.4 PETROL,"66,097 km",Petrol,Auto,UP-16,₹9.20 lakh,new-delhi
2014 Nissan Terrano, XL (P),"92,036 km",Petrol,Manual,UP-21,₹2.90 lakh,new-delhi
2021 KIA SONET, HTX 1.0 IMT,"30,923 km",Petrol,Manual,HR-20,₹7.24 lakh,new-delhi
2020 Hyundai Creta, SX (O) 1.4 TURBO DCT,"50,089 km",Petrol,Auto,DL-3C,₹10.64 lakh,new-delhi
2025 Maruti JIMNY, ALPHA ALL GRIP PRO AT,"2,555 km",Petrol,Auto,DL-3C,₹12.35 lakh,new-delhi
2023 Tata NEXON, FEARLESS PURPLE + SUNROOF DCA DUAL TONE 1.2 PETROL,"24,657 km",Petrol,Auto,DL-3C,₹10.63 lakh,new-delhi
2016 Hyundai i10, MAGNA 1.1,"39,842 km",Petrol,Manual,DL-14,₹2.30 lakh,new-delhi
2018 Hyundai Grand i10, SPORTZ 1.2 KAPPA VTVT,"40,352 km",Petrol,Manual,DL-6C,₹3.03 lakh,new-delhi
2017 Ford Ecosport, TITANIUM+ 1.0L ECOBOOST,"83,374 km",Petrol,Manual,DL-10,₹3.93 lakh,new-delhi
2022 Hyundai NEW SANTRO, MAGNA EXECUTIVE CNG,"44,250 km",CNG,Manual,HR-05,₹3.81 lakh,new-delhi
2016 Honda City, 1.5L I-VTEC V MT,"39,506 km",Petrol,Manual,DL-14,₹4.12 lakh,new-delhi
2016 Tata Tiago, XT PETROL,"84,075 km",Petrol,Manual,DL-10,₹2.53 lakh,new-delhi
2023 KIA SELTOS, HTX PETROL 1.5,"39,139 km",Petrol,Manual,DL-4C,₹11.31 lakh,new-delhi
2017 Hyundai Creta, SX PLUS 1.6 PETROL,"48,205 km",Petrol,Manual,DL-12,₹5.15 lakh,new-delhi
2019 Hyundai Creta, SX AT 1.6 PETROL,"86,162 km",CNG,Auto,DL-9C,₹7.49 lakh,new-delhi
2022 Nissan MAGNITE, XV TURBO,"14,095 km",Petrol,Manual,UP-42,₹5.28 lakh,new-delhi
2023 Mahindra Thar, LX PETROL HT 4WD AT,"21,265 km",Petrol,Auto,UP-14,₹12.76 lakh,new-delhi
2018 Tata NEXON, XM PETROL,"67,142 km",Petrol,Manual,HR-26,₹4.31 lakh,new-delhi
2018 Ford Ecosport, TREND + 1.5L PETROL AT,"42,025 km",Petrol,Auto,UP-16,₹4.52 lakh,new-delhi
2018 Hyundai Grand i10, MAGNA 1.2 KAPPA VTVT,"27,261 km",Petrol,Manual,HR-26,₹3.03 lakh,new-delhi
2018 Hyundai Creta, SX AT 1.6 PETROL,"54,320 km",Petrol,Auto,HR-51,₹6.59 lakh,new-delhi
2022 Tata NEXON, XZ PLUS (PREMIUM) PETROL,"62,509 km",Petrol,Manual,HR-98,₹6.26 lakh,new-delhi
2020 Tata Tiago, XT 1.2 REVOTRON,"77,018 km",Petrol,Manual,HR-31,₹3.32 lakh,new-delhi
2021 Mahindra Thar, LX PETROL HT 4WD AT,"29,980 km",Petrol,Auto,DL-1C,₹10.35 lakh,new-delhi
2016 Hyundai Grand i10, SPORTZ 1.2 KAPPA VTVT,"26,981 km",Petrol,Manual,DL-3C,₹2.60 lakh,new-delhi
2016 Hyundai Grand i10, SPORTZ 1.2 KAPPA VTVT,"51,434 km",CNG,Manual,HR-29,₹2.87 lakh,new-delhi
2018 Honda Amaze, 1.2L I-VTEC S OPT,"33,454 km",CNG,Manual,DL-1C,₹3.87 lakh,new-delhi
2013 Maruti Alto 800, LXI,"17,608 km",Petrol,Manual,HR-01,₹1.34 lakh,new-delhi
2015 Maruti Swift, LXI (O),"69,788 km",Petrol,Manual,UP-14,₹2.50 lakh,new-delhi
2021 Tata PUNCH, CREATIVE AMT 1.2 RTN DUAL TONE,"31,990 km",Petrol,Auto,UP-14,₹5.61 lakh,new-delhi
2017 Tata TIGOR, XT PETROL,"56,510 km",Petrol,Manual,HR-26,₹2.98 lakh,new-delhi
2015 Hyundai i10, SPORTZ 1.1,"55,435 km",Petrol,Manual,DL-8C,₹2.06 lakh,new-delhi
2020 Hyundai Elite i20, MAGNA PLUS 1.2,"48,878 km",Petrol,Manual,HR-06,₹4.35 lakh,new-delhi
2020 KIA SELTOS, HTX ANNIVERSARY EDITION 1.5 PETROL,"67,505 km",Petrol,Manual,HR-12,₹8.44 lakh,new-delhi
2017 Tata NEXON, XZ PLUS PETROL,"16,937 km",Petrol,Manual,HR-26,₹4.55 lakh,new-delhi
2017 Maruti Baleno, DELTA PETROL 1.2,"66,142 km",Petrol,Manual,HR-26,₹3.37 lakh,new-delhi
2017 Honda WR-V, 1.2L I-VTEC VX MT,"70,073 km",Petrol,Manual,DL-14,₹3.87 lakh,new-delhi
2016 Maruti Alto K10, VXI,"64,491 km",Petrol,Manual,HR-26,₹2.23 lakh,new-delhi
2019 Maruti Baleno, ZETA PETROL 1.2,"17,551 km",Petrol,Manual,DL-3C,₹4.55 lakh,new-delhi
2015 Hyundai Elite i20, MAGNA 1.2,"49,578 km",Petrol,Manual,DL-12,₹2.96 lakh,new-delhi
2017 Hyundai Creta, E PLUS 1.6 PETROL,"72,611 km",Petrol,Manual,DL-9C,₹4.56 lakh,new-delhi
2021 Mahindra XUV300, W6 1.2 PETROL,"1,18,148 km",Petrol,Manual,UP-14,₹5.32 lakh,new-delhi
2023 Nissan MAGNITE, XV MT,"47,686 km",Petrol,Manual,HR-26,₹5.18 lakh,new-delhi
2017 Maruti Wagon R 1.0, VXI,"97,744 km",Petrol,Manual,HR-19,₹2.13 lakh,new-delhi
2014 Maruti Alto 800, LXI,"63,081 km",Petrol,Manual,DL-13,₹1.40 lakh,new-delhi
2018 Hyundai Grand i10, SPORTZ (O) AT 1.2 KAPPA VTVT,"48,072 km",CNG,Auto,HR-26,₹3.92 lakh,new-delhi
2021 Renault Kiger, RXT AMT,"41,147 km",Petrol,Auto,HR-20,₹4.69 lakh,new-delhi
2017 Honda Jazz, 1.2L I-VTEC V AT,"63,606 km",Petrol,Auto,HR-29,₹3.77 lakh,new-delhi
2020 MG HECTOR, SHARP 1.5 DCT PETROL,"40,748 km",Petrol,Auto,HR-98,₹9.07 lakh,new-delhi
2017 Maruti Baleno, ZETA CVT PETROL 1.2,"69,926 km",Petrol,Auto,DL-12,₹3.59 lakh,new-delhi
2014 Hyundai i10, MAGNA 1.1,"66,696 km",CNG,Manual,HR-26,₹1.83 lakh,new-delhi
2015 Hyundai Elite i20, SPORTZ 1.2,"54,437 km",Petrol,Manual,DL-8C,₹3.33 lakh,new-delhi
2022 Tata Tiago, XZ PLUS CNG,"82,951 km",CNG,Manual,HR-26,₹4.71 lakh,new-delhi
2016 Maruti Swift, LXI (O),"72,548 km",Petrol,Manual,DL-12,₹2.62 lakh,new-delhi
2019 Maruti Ciaz, ALPHA  AT 1.5 SHVS PETROL,"85,255 km",Petrol,Auto,DL-12,₹5.56 lakh,new-delhi
2023 Tata NEXON, XM PETROL,"39,309 km",Petrol,Manual,HR-72,₹6.04 lakh,new-delhi
2024 Maruti Alto K10, VXI PLUS,"18,473 km",Petrol,Manual,DL-9C,₹3.95 lakh,new-delhi
2022 Maruti New Wagon-R, LXI CNG (O) 1.0,"94,895 km",CNG,Manual,HR-98,₹4.06 lakh,new-delhi
2019 Hyundai Grand i10, SPORTZ 1.2 KAPPA VTVT,"61,367 km",Petrol,Manual,DL-12,₹3.60 lakh,new-delhi
2018 Maruti Baleno, DELTA PETROL 1.2,"52,863 km",Petrol,Manual,HR-51,₹3.91 lakh,new-delhi
2023 MG HECTOR, SAVVY PRO 1.5 TURBO CVT PETROL,"70,044 km",Petrol,Auto,UP-16,₹13.86 lakh,new-delhi
2018 Renault Kwid, RXT 1.0,"43,049 km",Petrol,Manual,UP-14,₹2.33 lakh,new-delhi
2018 Hyundai Grand i10, SPORTZ 1.2 KAPPA VTVT,"36,069 km",Petrol,Manual,DL-7C,₹3.52 lakh,new-delhi
2016 Maruti Celerio, VXI,"85,797 km",Petrol,Manual,HR-26,₹2.14 lakh,new-delhi
2016 Hyundai Eon, ERA +,"53,770 km",Petrol,Manual,HR-26,₹1.71 lakh,new-delhi
2014 Maruti Ritz, VXI,"72,014 km",Petrol,Manual,UP-14,₹1.52 lakh,new-delhi
2015 Maruti Celerio, ZXI,"57,985 km",Petrol,Manual,UP-81,₹2.07 lakh,new-delhi
2020 MG HECTOR, SHARP 1.5 DCT PETROL,"21,627 km",Petrol,Auto,DL-10,₹9.03 lakh,new-delhi
2020 KIA SELTOS, HTK PLUS 1.5,"73,424 km",Petrol,Manual,UP-80,₹7.13 lakh,new-delhi
2017 Hyundai Elite i20, SPORTZ 1.2,"60,451 km",Petrol,Manual,HR-26,₹3.72 lakh,new-delhi
2023 KIA SONET, HTX PLUS 1.5 DIESEL IMT ,"15,842 km",Diesel,Manual,HR-72,₹9.36 lakh,new-delhi
2019 Honda City, 1.5L I-VTEC VX,"64,055 km",CNG,Manual,HR-26,₹6.90 lakh,new-delhi
2021 Tata ALTROZ, XZ PETROL,"37,476 km",Petrol,Manual,UP-14,₹4.92 lakh,new-delhi
2023 Maruti Alto K10, VXI,"13,918 km",Petrol,Manual,HR-29,₹3.48 lakh,new-delhi
2014 Hyundai i10, SPORTZ 1.2,"35,672 km",Petrol,Manual,UP-16,₹1.82 lakh,new-delhi
2018 Maruti Celerio X, ZXI (O) AMT,"14,228 km",Petrol,Auto,UP-14,₹3.78 lakh,new-delhi
2021 KIA SELTOS, HTX IVT 1.5 PETROL,"41,039 km",Petrol,Auto,UP-14,₹9.56 lakh,new-delhi
2016 Maruti Swift, VXI O,"62,752 km",Petrol,Manual,DL-9C,₹3.19 lakh,new-delhi
2021 Mahindra XUV700, AX 7 P AT 7 STR,"60,237 km",Petrol,Auto,HR-98,₹13.79 lakh,new-delhi
2015 Honda City, 1.5L I-VTEC VX CVT,"1,37,152 km",Petrol,Auto,HR-26,₹3.50 lakh,new-delhi
2014 Maruti Wagon R 1.0, VXI,"54,178 km",Petrol,Manual,HR-51,₹1.57 lakh,new-delhi
2018 Ford Ecosport, TITANIUM + 1.5L PETROL AT,"82,922 km",Petrol,Auto,HR-70,₹4.01 lakh,new-delhi
2014 Honda Brio, S MT,"29,359 km",Petrol,Manual,DL-13,₹1.99 lakh,new-delhi
2014 Maruti Alto K10, VXI,"21,521 km",Petrol,Manual,UP-16,₹1.90 lakh,new-delhi
2019 Maruti Dzire, VXI,"70,855 km",Petrol,Manual,HR-51,₹4.48 lakh,new-delhi
2016 Maruti Alto K10, VXI,"79,244 km",Petrol,Manual,HR-26,₹1.87 lakh,new-delhi
2019 Honda Jazz, 1.2L I-VTEC VX CVT,"32,715 km",Petrol,Auto,HR-26,₹4.41 lakh,new-delhi
2021 Mahindra XUV300, W8 (O) 1.2 PETROL,"33,264 km",Petrol,Manual,DL-10,₹6.32 lakh,new-delhi
2016 Hyundai Creta, SX PLUS 1.6 PETROL,"59,057 km",Petrol,Manual,DL-9C,₹4.91 lakh,new-delhi
2016 Maruti Celerio, VXI AMT,"41,307 km",Petrol,Auto,UP-21,₹2.49 lakh,new-delhi
2018 Hyundai Creta, SX AT 1.6 PETROL,"63,673 km",Petrol,Auto,HR-26,₹6.82 lakh,new-delhi
2021 KIA SELTOS, HTX IVT 1.5 PETROL,"64,647 km",Petrol,Auto,HR-87,₹9.60 lakh,new-delhi
2022 Maruti Alto, VXI PLUS,"30,408 km",Petrol,Manual,HR-98,₹3.13 lakh,new-delhi
2021 Hyundai Grand i10, SPORTZ 1.2 KAPPA VTVT,"29,791 km",Petrol,Manual,HR-16,₹4.49 lakh,new-delhi
2014 Hyundai i20, SPORTZ 1.2,"36,874 km",Petrol,Manual,HR-26,₹2.46 lakh,new-delhi
2018 Hyundai Elite i20, ASTA 1.2 (O),"90,375 km",Petrol,Manual,HR-72,₹3.90 lakh,new-delhi
2021 Hyundai Creta, SX 1.5 DIESEL,"98,937 km",Diesel,Manual,UP-32,₹9.95 lakh,new-delhi
2021 Hyundai GRAND I10 NIOS, SPORTZ 1.2 KAPPA VTVT CNG,"73,403 km",CNG,Manual,HR-79,₹4.85 lakh,new-delhi
2016 Honda Amaze, 1.2L I-VTEC S,"36,232 km",Petrol,Manual,DL-4C,₹2.91 lakh,new-delhi
2015 Maruti Wagon R 1.0, VXI,"57,209 km",Petrol,Manual,DL-3C,₹2.18 lakh,new-delhi
2021 Maruti S PRESSO, VXI AMT,"22,711 km",Petrol,Auto,HR-26,₹3.41 lakh,new-delhi
2015 Volkswagen Polo, TRENDLINE 1.2L PETROL,"44,879 km",Petrol,Manual,DL-3C,₹3.02 lakh,new-delhi
2018 Hyundai Grand i10, SPORTZ 1.2 KAPPA VTVT,"42,839 km",Petrol,Manual,HR-26,₹3.75 lakh,new-delhi
2017 Maruti Wagon R 1.0, VXI,"73,694 km",Petrol,Manual,DL-3C,₹2.56 lakh,new-delhi
2017 Honda Amaze, 1.2L I-VTEC S OPT,"53,888 km",Petrol,Manual,UP-16,₹3.20 lakh,new-delhi
2017 Mahindra TUV300, T8,"94,891 km",Diesel,Manual,TS-08,₹5.58 lakh,hyderabad
2014 Hyundai Eon, ERA +,"84,597 km",Petrol,Manual,TS-07,₹1.95 lakh,hyderabad
2013 Hyundai i10, SPORTZ 1.2 AT,"21,592 km",Petrol,Auto,AP-09,₹3.31 lakh,hyderabad
2014 Maruti Swift Dzire, VXI,"34,273 km",Petrol,Manual,AP-28,₹3.70 lakh,hyderabad
2014 Tata Bolt, XT REVOTRON,"26,122 km",Petrol,Manual,TS-10,₹2.53 lakh,hyderabad
2013 Chevrolet Sail UVA, 1.2 LS,"48,283 km",Petrol,Manual,AP-29,₹2.09 lakh,hyderabad
2019 Maruti Baleno, DELTA PETROL 1.2,"56,960 km",Petrol,Manual,TS-12,₹4.99 lakh,hyderabad
2019 Mahindra XUV300, W8(O) 1.2 PETROL DUAL TONE,"77,714 km",Petrol,Manual,TS-11,₹6.40 lakh,hyderabad
2017 Datsun Go Plus, T,"65,431 km",Petrol,Manual,TS-08,₹2.67 lakh,hyderabad
2017 Datsun Redi Go, T (O),"50,126 km",Petrol,Manual,TS-09,₹1.90 lakh,hyderabad
2021 MG HECTOR PLUS, SHARP 2.0 DIESEL TURBO MT 6-STR,"84,771 km",Diesel,Manual,TS-15,₹12.75 lakh,hyderabad
